Taxon,FAD,LAD
Dinnetherium_nezorum,196.5,183
Dinodontosaurus_spp,242,237
Dinodontosaurus_pedroanum,242,227
Dinogorgon_rubidgei,259.1,251.902
Dinosaurus_murchisoni,268,265
Dolichuranus_primaevus,247.2,242
Dixeya_sp_GPIT_RE_7119 ,254,254
Dryolestes,151,151
Dvinia_prima,259.1,251.902
Echinerpetodon_intermedium,315.2,307
Ecteninion_lunensis,237,227
Edaphosaurus_boanerges,295,272.95
Edaphosaurus_colohistion,303.7,298.9
Edaphosaurus_credneri,295,290.1
Edaphosaurus_cruciger,290.1,272.95
Edaphosaurus_novomexicanus,303.7,283.5
Edaphosaurus_pogonias,290.1,272.95
Elliotherium_kersteni,227,201.3
Elliotsmithia_sp,265.1,259.1
Elliotsmithia_longiceps,265.1,259.1
Elph_borealis,259.1,251.902
Emydops_spp,261,261
Emydops_arctatus,265.1,259.1
Emydops_oweni,259.9,254.2
Endothiodon_bathystoma,256,256
Endothiodon_tolani,256,256
Ennatosaurus_tecton,268.8,265.1
Eocasea_martini,303.7,298.9
Eodicynodon_oelofseni,268.8,265.1
Eodicynodon_oosthuizeni,264,264
Eosimops_newtoni,265.1,259.1
Eothyris_parkeyi,287,287
Eotitanosuchus_olsoni,268,265
Ericiolacerta_parva,251.902,251.2
Eriphostoma_microdon,265.1,259.1
Estemmenosuchus_mirabilis,268.8,265.1
Estemmenosuchus_uralensis,268.8,265.1
Eubrachiosaurus_browni,227,208.5
Euchambersia_mirabilis,255,255
Euptychognathus_bathyrhynchus,259.1,251.902
Euromycter_rutenus,283.5,272.95
Exaeretodon_argentinus,237,227
Exaeretodon_riograndensis,237,227
Exaeretodon_statisticae,237,227
Fortunodon_amalitzkii,265,252.3
Fortunodon_trautscholdi,265,252.3
Galechirus_scholtzi,265.1,259.1
Galeops_whaitsi,265.1,259.1
Galesaurus_planiceps,251.2,251.2
Geikia_elginensis,254.14,251.902
Geikia_locusticeps,254.14,251.902
Gelepus_jouberti,259.1,254.14
Glanosuchus_macrops,268.8,259.1
Glaucosaurus_megalops,283.5,272.95
Gomphodontosuchus_brasiliensis,237,227
Gordodon_kraineri,298.9,290.1
Gordonia_traquairi,254.14,251.902
Gorgodon_minutus,279.5,268
Gorgonops_dixeyi,258,256
Leptotracheliscops eupachygnathus,259,254
Gorgonops_kaiseri,265,259
Gorgonops_longifrons,259,254
Gorgonops_torvus,259.1,254.14
Gorgonops_whaitsi,259,254
Gorynychus_masyutinae,265.1,254.14
Hadrocodium wui ,191,191
Haptodus_baylei,307,290.1
Haptodus_garnettensis,307,303.7
Hazhenia_concava,251.902,247.2
Heleosaurus_scholtzi,265.1,259.1
Herpetoskylax_hopsoni,255,255
Hipposaurus_boonstrai,261,261
Hipposaurus_brinki,265,259
Hofmeyria_atavus,259.1,254.14
Hypselohaptodus_grandis,298.9,295
Ianthodon_schultzei,307,303.7
Ianthasaurus_hardestiorum,307,303.7
Ichibengops_munyamadziensis,259.1,254.14
Ictidochampsa_platyceps,259.1,251.902
Ictidorhinus_martinsi,254.14,251.902
Ictidosaurus_angusticeps,268.8,259.1
Ictidostoma_hemburyi,259.1,254.14
Ictidosuchoides_longiceps,254,254
Ictidosuchoides_intermedius,259,252.3
Ictidosuchoides_rubidgei,259.9,254.2
Ictidosuchops_rubidgei,259.1,251.2
Ictidosuchus_primaevus,265.1,254.14
Idelesaurus_tataricus,259.1,254.14
Inostracevia_spp,259.1,251.902
Interpresosaurus_blomi,254.14,251.902
Irajatherium_hernandezi,227,208.5
Ischigualastia_jenseni,237,227
Jachaleria_spp,242,208.5
Jachaleria_candelariensis,221.5,205.6
Jimusaria_sinkianensis,254.14,251.902
Jonkeria_spp,265.1,259.1
Kembawacela kitchingi ,254,254
Kannemeyeria_lophorhinus,251.2,242
Kannemeyeria_simocephalus,251.2,242
Kannemeyeria_wilsoni,252.2,247.2
Karenities_ornamentatus,265.1,254.14
Katumbia_parringtonii,254.14,251.902
Kawingasaurus_fossilis,254,254
Kayentatherium_wellesi,199.3,182.7
Kembawacela_kitchingi,259.9,252.2
Keratocephalus_moloch,265.1,259.1
Keyseria_benjamini,254.14,251.902
Kitchinganomodon_crassus,259.1,254.14
Kombuisia_spp,251.902,242
Kombuisia_antarctica,251.902,251.2
Kombuisia_frerensis,251.2,242
Kuehneotherium_praecursoris,227,201.3
Kwazulusaurus_shakai,259.1,251.902
Labidosaurus hamatus ,277,277
Langbergia_modisei,251.2,247.2
Lanthanostegus_mohoii,265.1,259.1
Lemurosaurus pricei ,255,255
Lende_chiweta,259.1,254.14
Leontosaurus_vanderhorsti,259.1,251.902
Leucocephalus_wewersi,258,258
Lisowicia_bojani,211,208.5
Lobalopex_mordax,259.1,254.14
Lophorhinus_willodenensis,259.1,254.14
Luangwa_spp.,237,237
Luangwa_drysdalli,247.2,237
Luangwa_sudamericana,242,227
Lufengia_delicata,199.3,182.7
Lumkuia_fuzzi,242,242
Lupeosaurus_kayi,295,272.95
Lycaenodon_longiceps,259.1,254.14
Lycaenops_angusticeps,259,252.3
Lycaenops_minor,259,254
Lycaenops_ornatus,253.48,253.48
Lycaenops_tenuirostris,259,254
Lycideops_longiceps,259.1,251.902
Lycosuchus_vanderrieti,265.1,259.1
Lystrosaurus_curvatus,254.14,251.2
Lystrosaurus_declivis,251,251
Lystrosaurus_georgi,251.902,251.2
Lystrosaurus_hedini,254.14,251.2
Lystrosaurus_maccaigi,254.14,251.2
Lystrosaurus_murrayi,251.2,251.2
Lystrosaurus_robustus,254.2,252.2
Lystrosaurus_shichanggouensis,252.2,251.2
Lystrosaurus_youngi,252.3,251.3
Macromerion_schwartzenbergii,307,298.9
Mandagomphodon_attridgei,247.2,237
Mandagomphodon_hirschoni,247.2,237
Massetognathus_spp.,233,233
Massetognathus_ochagaviae,242,227
Massetognathus_pascuali,242,227
Megazostrodon rudnerae ,191,191
Menadon_besairiei,242,227
Mesenosaurus_efremovi,290.1,268
Mesenosaurus_romeri,268.8,265.1
Microgomphodon_oligocynus,237,237
Microvaranops_parentis,265,259
Microsyodon_orlovi,272.95,268.8
Microwhaitsia_mendrezi,259.1,254.14
Milosaurus_mccordi,307,303.7
Mirotenthes_digitipes,259.1,251.902
Moghreberia_nmachouensis,237,227
Montirictus_kuwajimaensis,129.4,113
Morganucodon_spp,183,183
Morganucodon_oehleri,196.5,189.6
Morganucodon_watsoni,227,201.3
Mormosaurus_seeleyi,265.1,259.1
Moschops_spp,261,261
Moschorhinus_kitchingi,259.1,251.2
Moschowhaitsia_vjuschkovi,254.14,251.902
Mupashi_migrator,254,254
Mycterosaurus_longieps,283.5,272.95
Myosaurus_gracilis,251.902,251.2
Nanictosaurus_kitchingi,259.1,251.902
Nanogomphodon_wildi,242,237
Neosaurus_cynodus,298,290.1
Niassodon_mfumukasi,255,255
Niuksenitia_sukbonensis,259.1,254.14
NMQR_1702,259.1,254.14
Nochnitsa_geminidens,265.1,254.14
Nothogomphodon_danilovi,247.2,242
Notosyodon_gusevi,268.8,265.1
Nuurtherium_baruunensis,163.5,145
Odontocyclops_whaitsi,259.1,254.14
Oedaleops campi,298.9,290.1
Oligokyphus_spp,183,183
Oligokyphus_biserialis,205.6,201.6
Oligokyphus_lufengensis,201.3,190.8
Oligokyphus_major,190.8,182.7
Oligokyphus_minor,189.6,183
Oligokyphus_triserialis,227,199.3
Olivierosuchus_parringtoni,251,251
Ophiacodon_spp,303.7,272.95
Ophiacodon_hilli,290.1,283.5
Ophiacodon_major,290.1,272.95
Ophiacodon_mirus,303.7,272.95
Ophiacodon_navajovicus,303.7,290.1
Ophiacodon_retroversus,295,272.95
Ophiacodon_uniformis,295,272.95
Ophidostoma_tatarinovi,259.1,254.14
Ordosiodon_lincheyuensis,247.2,242
Ordosiodon_youngi,247.2,242
Oromycter_dolesorum,290.1,283.5
Otsheria_netzvetajevi,268.8,265.1
Oudenodon_bainii,252.5,252.5
Oudenodon_grandis,247.2,242
Pachydectes_elsi,265.1,259.1
Pachygenelus_spp,201.3,182.7
Pachygenelus_monus,201.6,196.5
Pampaphoneus_biccai,265.1,259.1
Pantelosaurus_saxonicus,298.9,295
Paraburnetia_sneeubergensis,259.1,254.14
Parakannemeyeria_spp,247.2,242
Parakannemeyeria_dolichocephala,247.2,237
Parakannemeyeria_ningwuensis,247.2,237
Parakannemeyeria_shenmuensis,247.2,237
Parakannemeyeria_youngi,247.2,237
Pardosuchus_whaitsi,265.1,259.1
Pascualgnathus_polanskii,237,227
Patranomodon_nyaphulii,265,265
Pelanomodon_moschops,259.1,251.902
Pentasaurus_goggai,221.5,201.6
Peramodon_amalitzkii,254.14,251.902
Perplexisaurus_foveatus,265.1,254.14
Phreatophasma_aenigmaticum,272.95,268.8
Phthinosaurus_borissiaki,272.95,268.8
Phocosaurus_megischion,265.1,259.1
Placerias_hesternus,237,208.5
Platycraniellus_elegans,251.902,251.2
Polistodon_chuannanensis,170.3,168.3
Pravoslavlevia_parva,259.1,251.902
Pristerodon_mackayi,252,252
Pristerodon_whaitsi,259.9,254.2
Pristerognathoides_minor,265,259
Pristerognathus_polyodon,265.1,254.14
Probainognathus_jenseni,242,237
Proburnetia_viatkensis,265.1,254.14
Procynosuchus_delaharpeae,253,253
Progalesaurus_lootsbergensis,251.902,251.2
Prolacerta broomi ,251,251
Promoschorhynchus_platyrhinus,254.14,251.2
Prosictodon_dubei,265.1,259.1
Protheriodon_estudianti,242,227
Protuberum_cabralense,242,227
Pseudotherium argentinus ,231,231
Prozostrodon_brasiliensis,237,227
Ptomalestes_avidus,265,259
Pyozia_mesenensis,268.8,265.1
Rabidosaurus_cristatus,247.2,242
Raranimus_dashankouensis,268.8,265.1
